applicant_id,business_type,years_in_operation,annual_revenue,monthly_cashflow,loan_amount_requested,credit_score,existing_loans,collateral_value,repayment_history,debt_to_income_ratio,default_flag
APP-0750,Trading,4,4587112,77784,874310,562,3,372659,Average,0.76,1
APP-0751,Services,18,1179775,37573,284383,697,0,189086,Good,0.69,0
APP-0752,Manufacturing,17,2246916,20445,843054,826,0,253267,Good,0.41,0
APP-0753,Services,19,1220933,33120,580953,735,0,196502,Poor,0.44,0
APP-0754,Manufacturing,11,1441449,42332,828706,659,2,334175,Good,0.73,0
APP-0755,Trading,3,2568929,39201,938923,428,0,367401,Good,0.51,1
APP-0756,Services,8,3042933,41691,904800,540,2,349117,Good,0.72,1
APP-0757,Manufacturing,14,909734,28387,156075,521,2,59596,Good,0.44,0
APP-0758,Trading,1,1717832,47125,696226,513,1,394929,Good,0.24,0
APP-0759,Services,14,2307728,25772,163060,434,1,20428,Good,0.61,1
APP-0760,Services,2,1922154,26214,459110,685,2,62160,Poor,0.47,0
APP-0761,Manufacturing,4,2757834,65821,904995,602,1,459387,Good,0.57,0
APP-0762,Manufacturing,19,963605,18133,525340,586,0,250894,Good,0.21,1
APP-0763,Manufacturing,6,3059526,64059,231516,488,1,342873,Good,0.55,1
APP-0764,Trading,1,1560399,50122,671034,596,2,60843,Poor,0.37,1
APP-0765,Manufacturing,17,66939,1261,735898,825,0,416219,Average,0.33,0
APP-0766,Services,8,2591083,78705,365247,688,3,342313,Good,0.57,0
APP-0767,Services,19,4550908,113098,76446,758,0,356908,Good,0.51,0
APP-0768,Manufacturing,1,2082656,23687,563360,560,0,435293,Average,0.55,1
APP-0769,Manufacturing,5,4115011,110883,43717,412,0,288874,Good,0.78,1
APP-0770,Services,16,3339986,71270,228417,335,0,376226,Good,0.59,1
APP-0771,Trading,6,1317403,18391,167723,378,2,72981,Good,0.55,1
APP-0772,Manufacturing,8,1365777,21267,389346,574,3,241791,Good,0.53,1
APP-0773,Manufacturing,13,4394109,97842,971795,577,2,473033,Good,0.38,1
APP-0774,Services,16,1904165,44511,394533,611,3,203210,Good,0.69,0
APP-0775,Manufacturing,3,2297837,74766,119525,828,0,327717,Good,0.37,0
APP-0776,Trading,19,427224,12689,466566,503,0,239200,Good,0.59,1
APP-0777,Services,12,4723802,63673,223092,316,1,159941,Good,0.31,0
APP-0778,Manufacturing,16,4482482,124089,14646,775,2,233151,Good,0.2,0
APP-0779,Services,11,4503722,38464,311857,810,0,31076,Poor,0.19,1
APP-0780,Manufacturing,10,284433,3293,340080,509,3,485382,Good,0.54,1
APP-0781,Manufacturing,4,2076199,27667,185403,798,1,479221,Good,0.33,0
APP-0782,Manufacturing,12,414446,9641,294329,701,3,228907,Good,0.29,0
APP-0783,Trading,2,498934,6586,356407,728,0,126283,Good,0.51,0
APP-0784,Trading,19,2707885,47293,764016,377,1,287238,Good,0.12,0
APP-0785,Services,5,1932226,27829,586395,379,2,157889,Good,0.27,0
APP-0786,Manufacturing,8,2957658,49596,779153,605,2,10555,Good,0.34,0
APP-0787,Manufacturing,7,2128038,67872,469770,357,0,70656,Good,0.6,1
APP-0788,Trading,14,1521617,50620,813995,829,3,390205,Average,0.48,0
APP-0789,Manufacturing,3,873271,22247,605017,507,2,473430,Average,0.7,1
APP-0790,Trading,18,1992120,45103,287845,810,0,383576,Poor,0.33,1
APP-0791,Manufacturing,16,3061098,79724,210144,434,0,443409,Good,0.31,0
APP-0792,Services,19,2739762,75684,975721,821,1,397931,Good,0.12,0
APP-0793,Manufacturing,19,2989905,80155,972114,382,1,392838,Poor,0.77,1
APP-0794,Manufacturing,18,1732964,17989,749782,343,2,296306,Good,0.45,0
APP-0795,Trading,16,871939,14030,505339,782,0,101173,Average,0.45,0
APP-0796,Manufacturing,8,4343548,73489,786903,792,1,360002,Good,0.75,0
APP-0797,Manufacturing,1,3687588,64771,977635,798,1,101980,Good,0.3,0
APP-0798,Trading,17,2535084,42947,662619,317,0,495241,Good,0.33,1
APP-0799,Services,12,3553123,99525,694770,593,1,388796,Good,0.56,1
APP-0800,Services,11,4005966,108255,109280,447,0,38458,Good,0.65,1
APP-0801,Trading,5,3664705,30960,724075,771,0,104122,Good,0.59,0
APP-0802,Trading,12,2550120,40146,48665,471,1,98538,Good,0.65,1
APP-0803,Trading,17,3982613,95283,288101,830,3,396356,Good,0.5,0
APP-0804,Trading,6,4105032,46550,975631,419,0,467390,Good,0.7,1
APP-0805,Trading,1,3807378,38505,991093,365,0,111201,Good,0.49,0
APP-0806,Services,5,2246274,65239,842440,440,0,148455,Good,0.26,0
APP-0807,Services,14,2479700,48727,858352,745,0,148790,Good,0.48,0
APP-0808,Trading,5,671458,19959,793573,805,1,499845,Good,0.6,0
APP-0809,Manufacturing,1,1581439,45738,698235,488,2,207232,Good,0.56,1
APP-0810,Trading,18,4146920,127176,123828,457,0,450615,Average,0.27,0
APP-0811,Manufacturing,16,2123890,20262,920284,545,3,349152,Good,0.13,1
APP-0812,Trading,9,3431579,44564,666986,332,0,152935,Average,0.28,0
APP-0813,Trading,19,3551661,55892,100815,660,2,464842,Average,0.79,0
APP-0814,Services,5,2767956,32493,204894,629,2,273521,Good,0.23,0
APP-0815,Manufacturing,2,4115249,84239,999269,811,1,345175,Good,0.43,0
APP-0816,Manufacturing,15,2654902,75154,737773,370,0,191595,Good,0.55,1
APP-0817,Services,7,448008,14386,174714,612,1,124403,Good,0.72,0
APP-0818,Services,4,4169214,127464,834743,378,1,145942,Poor,0.63,1
APP-0819,Services,1,1373957,27158,42356,468,2,319631,Poor,0.74,1
APP-0820,Services,13,1904260,46169,275953,479,1,150372,Good,0.52,1
APP-0821,Manufacturing,7,3599651,50757,970875,559,1,449167,Good,0.71,1
APP-0822,Manufacturing,15,2846647,52402,831307,785,2,67639,Average,0.28,0
APP-0823,Trading,14,224001,6745,775409,304,3,352875,Average,0.4,0
APP-0824,Trading,19,2464607,22337,281609,596,1,124766,Good,0.69,1
APP-0825,Services,18,3956419,85665,731455,659,2,365573,Good,0.33,0
APP-0826,Services,10,115867,3493,345988,416,1,260637,Good,0.71,1
APP-0827,Services,9,138780,1579,206322,656,1,465342,Good,0.35,0
APP-0828,Trading,8,2745145,90307,883321,738,1,436196,Average,0.35,0
APP-0829,Trading,10,2991478,25855,549538,630,2,238976,Poor,0.32,1
APP-0830,Trading,17,924072,28171,56023,824,0,163122,Average,0.48,0
APP-0831,Trading,2,3817263,65562,635638,487,1,133993,Good,0.19,1
APP-0832,Trading,6,3899981,45437,187696,580,1,393048,Average,0.13,0
APP-0833,Trading,5,4245031,52075,550715,810,0,332414,Good,0.73,0
APP-0834,Trading,9,4134591,106932,436492,765,0,347437,Good,0.75,0
APP-0835,Services,5,1069051,32179,868075,414,2,292472,Good,0.15,0
APP-0836,Services,18,1464119,35665,220084,535,1,454036,Good,0.48,0
APP-0837,Services,9,1318182,41590,144511,637,0,285282,Good,0.48,0
APP-0838,Services,17,4124161,121230,489064,821,2,212645,Good,0.36,0
APP-0839,Trading,17,440732,3772,752691,498,2,492356,Good,0.5,0
APP-0840,Manufacturing,12,2620746,65699,88672,349,1,405310,Average,0.42,0
APP-0841,Trading,7,2301743,36710,482919,441,0,458480,Good,0.44,0
APP-0842,Manufacturing,3,4076352,80287,27300,827,3,271172,Good,0.63,0
APP-0843,Services,10,2326158,24852,332433,813,2,240125,Good,0.47,0
APP-0844,Trading,2,3170452,48779,420398,329,0,146504,Average,0.33,0
APP-0845,Services,3,3355640,81040,473723,381,0,305963,Good,0.51,1
APP-0846,Trading,16,2760807,38079,454128,330,1,350771,Good,0.55,1
APP-0847,Services,2,1512417,37087,954413,632,1,258312,Average,0.56,0
APP-0848,Manufacturing,10,725899,22799,29659,476,0,212194,Good,0.53,1
APP-0849,Manufacturing,6,368774,3118,696763,669,1,267456,Good,0.57,0
APP-0850,Manufacturing,11,536626,15013,255259,846,1,25973,Average,0.32,0
APP-0851,Trading,7,3073871,74898,436802,834,2,102126,Good,0.41,0
APP-0852,Manufacturing,15,4899617,46542,20360,405,1,448521,Average,0.57,1
APP-0853,Trading,6,661868,18590,817856,396,1,160045,Good,0.63,1
APP-0854,Manufacturing,9,4583910,63928,632323,529,3,306534,Good,0.4,0
APP-0855,Manufacturing,12,1457757,21835,513447,526,0,409315,Good,0.36,0
APP-0856,Trading,19,1254656,13388,58791,670,0,260025,Average,0.6,0
APP-0857,Trading,3,3506800,76072,406281,399,2,312100,Good,0.26,1
APP-0858,Manufacturing,15,788456,16391,734155,744,0,361523,Good,0.11,0
APP-0859,Trading,2,1188452,20218,518810,767,2,276207,Good,0.43,0
APP-0860,Manufacturing,2,2696416,33845,284444,354,0,356450,Good,0.22,0
APP-0861,Trading,3,732986,21463,567658,494,0,223824,Average,0.36,0
APP-0862,Services,6,4604704,139259,735191,819,3,93196,Poor,0.3,1
APP-0863,Services,15,2338013,51080,37209,723,1,475135,Good,0.64,0
APP-0864,Services,10,1817581,26243,511503,614,2,9605,Good,0.33,0
APP-0865,Services,9,2398818,25753,293071,427,0,96185,Good,0.55,1
APP-0866,Services,1,3465398,104124,568867,331,0,102756,Good,0.57,1
APP-0867,Manufacturing,16,4872455,52304,513623,392,2,116351,Poor,0.42,1
APP-0868,Services,6,3394849,29409,805464,818,0,229167,Good,0.16,0
APP-0869,Services,9,385510,7736,627542,557,1,256927,Good,0.59,1
APP-0870,Services,4,3144973,83703,874845,519,0,241674,Good,0.15,0
APP-0871,Services,2,4696637,92860,968235,405,0,208976,Good,0.17,0
APP-0872,Trading,4,3251824,31277,647816,847,2,335108,Good,0.24,0
APP-0873,Manufacturing,1,100248,2564,757562,715,2,182277,Poor,0.3,1
APP-0874,Services,19,4115183,100376,981271,608,1,409033,Good,0.69,0
APP-0875,Services,10,2227040,56503,396060,665,1,2420,Good,0.57,0
APP-0876,Services,15,290346,3952,772580,820,1,346592,Good,0.37,0
APP-0877,Manufacturing,19,668821,18878,868734,758,1,463069,Poor,0.79,1
APP-0878,Trading,16,4286258,87064,715314,669,2,89897,Good,0.27,0
APP-0879,Manufacturing,4,4596167,99930,258342,630,0,27728,Good,0.53,0
APP-0880,Trading,2,714164,15696,753725,310,0,124826,Good,0.69,1
APP-0881,Services,13,1846641,28629,882189,806,3,57858,Good,0.66,0
APP-0882,Services,1,312739,4561,428318,718,0,368860,Average,0.16,0
APP-0883,Manufacturing,17,3487464,29477,961937,421,0,180161,Good,0.59,1
APP-0884,Manufacturing,13,2471961,45109,812364,534,1,227676,Good,0.28,1
APP-0885,Trading,4,318116,6508,822146,630,2,261680,Good,0.35,0
APP-0886,Trading,7,3473754,93455,67803,842,1,491747,Good,0.44,0
APP-0887,Manufacturing,17,1820330,18201,442959,647,0,215329,Good,0.65,0
APP-0888,Trading,9,4708575,148004,143624,711,3,422180,Poor,0.22,0
APP-0889,Manufacturing,4,3874857,57860,590915,523,2,228137,Good,0.18,0
APP-0890,Trading,19,2696460,47191,711347,452,2,339136,Average,0.21,1
APP-0891,Manufacturing,1,414765,3957,351954,511,0,361403,Good,0.25,0
APP-0892,Manufacturing,10,1970382,48593,55380,391,0,378329,Poor,0.14,1
APP-0893,Manufacturing,4,62879,1638,170322,630,0,435456,Good,0.75,0
APP-0894,Trading,9,608086,19187,733704,766,0,362426,Good,0.32,0
APP-0895,Trading,13,3827807,64131,861118,527,0,214521,Good,0.22,1
APP-0896,Trading,14,1581618,23356,512610,493,0,143747,Good,0.55,1
APP-0897,Manufacturing,10,4945737,130990,392465,829,1,248422,Good,0.65,0
APP-0898,Trading,6,4049143,105291,529339,542,1,97677,Poor,0.63,1
APP-0899,Trading,16,4732251,150303,841460,688,2,485741,Average,0.6,0
APP-0900,Manufacturing,6,209472,2820,680655,575,0,60049,Good,0.14,1
APP-0901,Services,17,2141028,55593,909573,749,1,474880,Good,0.65,0
APP-0902,Manufacturing,10,2945537,29470,851680,777,0,179508,Good,0.45,0
APP-0903,Trading,18,2777850,56508,282667,779,1,40213,Average,0.55,0
APP-0904,Manufacturing,18,1748019,19784,317674,587,1,421327,Good,0.77,1
APP-0905,Services,3,3350335,82625,793413,839,1,266428,Good,0.67,0
APP-0906,Manufacturing,15,1829472,42754,548057,629,2,484245,Poor,0.68,1
APP-0907,Trading,15,3663983,35006,990546,769,2,279729,Good,0.23,0
APP-0908,Services,4,3199783,52232,122035,833,1,458255,Average,0.43,0
APP-0909,Trading,9,2447466,44566,185717,766,2,357275,Good,0.76,0
APP-0910,Services,19,2376168,34537,756103,719,1,269275,Average,0.51,0
APP-0911,Services,17,3958673,36815,465358,421,2,43382,Good,0.17,0
APP-0912,Manufacturing,11,1984984,32362,766120,607,1,484949,Good,0.61,0
APP-0913,Manufacturing,9,1388971,39098,690917,633,1,426743,Poor,0.13,0
APP-0914,Trading,10,4191314,72660,769087,719,2,218565,Good,0.62,0
APP-0915,Manufacturing,18,4336419,71193,351926,625,0,162008,Good,0.72,0
APP-0916,Manufacturing,13,2087701,66549,350526,549,1,87081,Good,0.4,1
APP-0917,Services,8,4060086,38059,178157,394,3,53441,Good,0.39,0
APP-0918,Manufacturing,7,3667760,100920,978212,595,2,447814,Average,0.31,1
APP-0919,Services,17,532870,10876,454573,483,0,79220,Good,0.71,1
APP-0920,Services,15,4607612,147189,907371,559,0,239056,Average,0.48,0
APP-0921,Services,15,4259689,77398,154542,485,2,151714,Good,0.51,1
APP-0922,Trading,1,4047581,105376,875144,708,3,200979,Good,0.56,0
APP-0923,Trading,14,4202109,42364,652931,368,0,12651,Average,0.31,0
APP-0924,Trading,5,2655822,83798,379561,307,2,132737,Good,0.4,0
APP-0925,Services,11,167369,2836,220154,564,2,269062,Average,0.62,1
APP-0926,Trading,16,4989294,106937,672165,783,0,285151,Good,0.79,0
APP-0927,Trading,2,3769127,44458,223396,670,2,228016,Good,0.12,0
APP-0928,Manufacturing,8,2400876,76761,924688,382,0,206802,Good,0.13,0
APP-0929,Trading,11,3423328,86122,760244,510,1,287179,Good,0.4,0
APP-0930,Trading,18,3669047,35523,989532,612,1,351496,Good,0.56,0
APP-0931,Services,3,2281737,27868,191844,636,1,481818,Good,0.37,0
APP-0932,Services,1,2917695,53478,532797,789,2,76749,Good,0.8,1
APP-0933,Services,11,2815847,38725,979608,702,1,376193,Good,0.24,0
APP-0934,Services,16,1798076,28677,635710,490,2,350292,Good,0.11,0
APP-0935,Services,18,1700522,56577,361444,634,2,22211,Good,0.23,0
APP-0936,Services,16,1217213,30186,278774,821,2,447803,Good,0.72,0
APP-0937,Trading,10,957153,30043,920906,386,1,26866,Good,0.2,0
APP-0938,Services,18,2764660,53159,371013,361,0,237012,Good,0.44,0
APP-0939,Services,6,3050827,79597,812133,686,1,490351,Good,0.39,0
APP-0940,Manufacturing,19,1973298,39121,155931,445,2,7344,Good,0.57,1
APP-0941,Trading,4,3675279,60785,424399,452,0,330881,Good,0.14,1
APP-0942,Trading,13,4086423,87092,967942,648,3,332432,Average,0.56,0
APP-0943,Trading,14,571397,10865,893717,477,2,324690,Good,0.35,0
APP-0944,Services,3,842425,27671,651844,786,2,107879,Good,0.75,0
APP-0945,Services,10,3160997,65551,238495,546,1,272471,Poor,0.69,1
APP-0946,Services,6,3954413,113140,264809,553,1,441875,Good,0.38,1
APP-0947,Manufacturing,1,1616772,40425,969748,799,2,439013,Good,0.8,1
APP-0948,Services,14,3051179,62012,739672,840,1,464843,Average,0.14,0
APP-0949,Manufacturing,8,102066,2060,25021,651,2,27608,Good,0.65,0
APP-0950,Trading,19,2521146,42558,735223,811,1,421501,Poor,0.4,0
APP-0951,Services,14,308480,3395,458781,312,2,350678,Poor,0.4,1
APP-0952,Manufacturing,10,4233005,115857,451259,450,2,378353,Good,0.22,0
APP-0953,Manufacturing,17,3802331,118958,738510,349,0,441850,Poor,0.46,1
APP-0954,Services,9,1061214,14625,74361,514,0,171361,Poor,0.16,1
APP-0955,Trading,6,4130554,130009,928749,671,2,481695,Good,0.53,0
APP-0956,Trading,11,4221364,59694,968515,412,0,280151,Poor,0.27,1
APP-0957,Trading,7,1985822,42864,806787,551,1,287401,Good,0.61,1
APP-0958,Manufacturing,17,2623937,44407,108841,640,1,85054,Good,0.53,0
APP-0959,Manufacturing,1,4247739,47557,976196,352,0,29784,Good,0.62,1
APP-0960,Manufacturing,5,1986513,19178,714364,429,0,169660,Good,0.62,1
APP-0961,Manufacturing,9,3355742,58614,256300,492,2,44221,Good,0.24,0
APP-0962,Trading,18,1520851,14473,170786,356,1,283522,Good,0.1,0
APP-0963,Services,2,762917,8345,551486,396,1,4696,Good,0.36,0
APP-0964,Manufacturing,11,2985973,35505,339095,497,3,355675,Good,0.74,1
APP-0965,Manufacturing,6,2986598,25031,929156,446,0,34635,Good,0.5,0
APP-0966,Trading,8,4536745,55187,446841,594,0,126489,Good,0.61,1
APP-0967,Services,4,2707179,61629,268466,311,2,320687,Good,0.72,1
APP-0968,Services,18,1501511,43275,489198,632,2,212331,Average,0.73,0
APP-0969,Trading,11,2750993,36228,553028,519,1,150279,Good,0.47,0
APP-0970,Trading,5,4252618,44036,275954,697,3,420740,Good,0.48,0
APP-0971,Services,15,668119,17752,920175,641,3,421770,Good,0.7,0
APP-0972,Manufacturing,18,4057324,34639,944073,811,0,11817,Good,0.67,0
APP-0973,Services,2,3565530,95154,268308,471,0,317402,Good,0.59,1
APP-0974,Trading,11,2969697,34481,109855,767,2,193654,Poor,0.52,1
APP-0975,Manufacturing,13,691462,9708,744480,465,0,131240,Average,0.53,1
APP-0976,Manufacturing,4,2377089,26944,823215,469,0,122475,Good,0.35,0
APP-0977,Trading,7,594653,8632,131701,811,2,436197,Good,0.69,0
APP-0978,Trading,11,4545477,128581,502281,488,1,223378,Good,0.53,1
APP-0979,Trading,4,443186,5161,350191,419,1,65199,Good,0.26,0
APP-0980,Services,15,3805490,126294,805903,404,0,327092,Good,0.27,1
APP-0981,Services,1,4584666,75696,120771,340,1,57782,Good,0.7,1
APP-0982,Manufacturing,3,3354299,105266,16163,620,1,80759,Good,0.54,0
APP-0983,Trading,14,812790,10634,990591,634,0,61599,Good,0.38,0
APP-0984,Manufacturing,6,1800093,23456,858503,459,0,204635,Average,0.23,0
APP-0985,Manufacturing,18,1270682,28548,26065,563,1,16291,Good,0.53,1
APP-0986,Manufacturing,1,2945018,28267,394467,829,3,371089,Poor,0.23,1
APP-0987,Manufacturing,6,657317,18640,775550,776,3,447049,Good,0.43,0
APP-0988,Trading,6,2150923,41563,914401,651,0,222047,Good,0.57,0
APP-0989,Manufacturing,16,1743675,45009,355600,844,2,87057,Good,0.5,0
APP-0990,Trading,5,1024303,13007,507721,509,2,352395,Average,0.75,1
APP-0991,Trading,17,4044417,98652,258924,795,2,349298,Average,0.13,0
APP-0992,Services,10,370580,8591,713708,681,1,94535,Good,0.3,0
APP-0993,Trading,18,3303507,89937,815586,780,0,426208,Good,0.14,0
APP-0994,Services,7,4893483,77162,902135,304,2,432566,Good,0.24,0
APP-0995,Trading,3,2926237,92651,554517,333,0,263717,Good,0.19,1
APP-0996,Trading,13,3681047,119140,324731,444,0,259789,Good,0.61,1
APP-0997,Trading,15,1086658,32639,784758,650,1,8577,Good,0.36,0
APP-0998,Services,19,530674,12011,321857,764,3,401928,Good,0.75,0
APP-0999,Services,3,4797924,90395,692357,647,0,29948,Good,0.12,0
APP-1000,Manufacturing,4,443056,4334,555389,424,1,236139,Good,0.56,1
APP-1001,Services,5,4333335,138727,574679,570,0,77700,Good,0.78,1
APP-1002,Services,1,3662914,117681,216935,656,2,267361,Good,0.22,0
APP-1003,Services,4,233024,2050,82723,826,1,322322,Good,0.41,0
APP-1004,Services,12,1126048,19430,236293,797,0,347206,Average,0.59,0
APP-1005,Manufacturing,10,2207098,66950,200477,452,0,358950,Good,0.54,1
APP-1006,Services,13,994353,10296,176020,352,1,157481,Good,0.5,0
APP-1007,Trading,14,3459413,45828,896696,448,0,180112,Good,0.33,0
APP-1008,Trading,5,1101341,36124,980535,802,0,471486,Average,0.61,0
APP-1009,Services,4,4549522,134281,310065,749,1,109657,Good,0.56,0
APP-1010,Services,14,3880371,120815,475787,518,1,495021,Poor,0.21,1
APP-1011,Trading,10,1873980,22276,480223,576,2,472282,Good,0.77,1
APP-1012,Trading,17,2016849,27461,824892,751,0,209002,Good,0.49,0
APP-1013,Manufacturing,10,1771742,41580,521174,727,1,329179,Good,0.47,0
APP-1014,Trading,7,4917920,102670,424287,382,1,93075,Good,0.69,1
APP-1015,Trading,16,4610351,72824,731478,517,0,402885,Good,0.55,1
APP-1016,Services,1,4763094,144938,189354,826,1,189319,Good,0.15,0
APP-1017,Trading,17,3345453,103267,626013,703,0,190047,Good,0.45,0
APP-1018,Manufacturing,9,3675613,57433,330589,589,2,421778,Good,0.65,1
APP-1019,Trading,6,2186491,26734,746427,719,1,21629,Good,0.59,0
APP-1020,Services,19,3614701,43595,354352,638,1,353426,Good,0.78,0
APP-1021,Services,13,354543,7248,458032,718,0,192535,Good,0.12,0
APP-1022,Trading,3,4026173,46930,378427,506,0,308151,Good,0.28,0
APP-1023,Services,7,3162261,63772,95779,564,1,411344,Good,0.48,1
APP-1024,Manufacturing,9,1506498,29951,13060,335,1,2039,Good,0.53,1
APP-1025,Manufacturing,5,3747925,114072,660094,672,0,106615,Good,0.29,0
APP-1026,Trading,10,4218986,66400,285875,787,0,3857,Good,0.68,0
APP-1027,Trading,17,4763297,106457,349974,558,0,190091,Good,0.22,0
APP-1028,Trading,12,3141287,84566,650159,830,1,91432,Good,0.1,0
APP-1029,Services,16,762932,17723,555007,322,0,463702,Good,0.77,1
APP-1030,Manufacturing,3,1031271,33191,974546,403,1,220079,Poor,0.37,1
APP-1031,Manufacturing,9,1042206,24377,583404,540,0,80977,Good,0.77,1
APP-1032,Services,15,2288154,70657,524583,552,1,274879,Good,0.29,0
APP-1033,Manufacturing,5,53285,770,560613,441,0,481167,Average,0.14,0
APP-1034,Trading,13,2707303,60514,950101,750,1,165583,Good,0.64,0
APP-1035,Trading,14,3083361,67574,994943,606,0,46051,Average,0.69,0
APP-1036,Trading,15,1754491,58020,24551,799,0,386966,Good,0.44,0
APP-1037,Manufacturing,16,1431688,19250,365431,307,1,52693,Good,0.15,0
APP-1038,Trading,13,1152491,13666,296422,368,0,107942,Good,0.56,1
APP-1039,Services,17,715979,16915,494405,367,0,331296,Poor,0.23,1
APP-1040,Services,8,834278,11617,25141,707,2,343063,Good,0.69,0
APP-1041,Manufacturing,2,557553,13555,340057,817,2,291900,Good,0.29,0
APP-1042,Services,5,1026778,33519,830047,418,0,134966,Good,0.69,1
APP-1043,Services,6,4134457,132286,656346,330,2,378556,Good,0.4,0
APP-1044,Manufacturing,12,2520562,35567,728111,817,1,366675,Good,0.52,0
APP-1045,Trading,18,2588076,32624,646972,782,0,174304,Good,0.65,0
APP-1046,Trading,1,3848057,86011,299596,506,3,53214,Good,0.13,0
APP-1047,Trading,17,3248747,74730,425941,686,2,499367,Good,0.67,0
APP-1048,Manufacturing,11,4775965,118871,584679,711,3,69817,Average,0.2,0
APP-1049,Services,10,1952871,52474,654576,669,0,63862,Good,0.35,0
APP-1050,Trading,19,672215,15701,740420,652,0,221255,Average,0.43,0
APP-1051,Trading,14,1861049,20708,123535,635,1,258121,Good,0.73,0
APP-1052,Manufacturing,10,396229,11128,152770,588,1,259968,Good,0.12,0
APP-1053,Trading,15,1216572,12556,249947,439,0,423252,Good,0.49,0
APP-1054,Manufacturing,19,4807812,42468,620999,599,2,411800,Good,0.55,1
APP-1055,Services,4,2539799,70034,874282,312,1,493663,Good,0.32,0
APP-1056,Manufacturing,2,4776234,105279,906165,727,1,163380,Average,0.3,0
APP-1057,Manufacturing,9,129971,3353,274509,699,1,375228,Good,0.44,0
APP-1058,Manufacturing,10,1923200,34429,762913,408,1,290477,Good,0.23,1
APP-1059,Manufacturing,11,1616049,13915,894094,784,0,429165,Good,0.43,0
APP-1060,Services,14,4641901,77096,577660,655,3,386505,Good,0.64,0
APP-1061,Services,7,2899095,68235,578422,448,0,478011,Good,0.69,1
APP-1062,Trading,15,1365502,19084,834255,606,0,97330,Average,0.37,0
APP-1063,Services,19,4430088,113093,605446,832,2,39288,Good,0.53,0
APP-1064,Services,15,1249110,35216,892508,359,3,340732,Good,0.1,1
APP-1065,Trading,8,896462,17651,771447,734,2,208879,Good,0.49,0
APP-1066,Services,11,773879,23391,143021,320,2,115784,Good,0.78,1
APP-1067,Manufacturing,9,4038571,119960,583684,681,1,176339,Average,0.32,0
APP-1068,Manufacturing,15,3382006,102423,380480,544,3,294319,Good,0.52,1
APP-1069,Trading,1,1669814,41510,41912,372,0,8915,Good,0.63,1
APP-1070,Trading,1,1494315,23838,66947,748,2,343802,Poor,0.53,1
APP-1071,Trading,19,1552718,31620,523676,375,1,371879,Good,0.39,0
APP-1072,Manufacturing,3,2878340,75113,500913,689,0,334598,Good,0.21,0
APP-1073,Services,10,1244737,16925,54387,641,1,452938,Good,0.42,0
APP-1074,Manufacturing,8,3593525,96322,991469,589,1,499668,Good,0.31,1
APP-1075,Trading,15,448825,9890,288652,630,1,358117,Good,0.59,0
APP-1076,Services,10,1935190,20771,317736,558,0,373486,Good,0.41,0
APP-1077,Services,1,4745781,105667,643537,725,2,196370,Average,0.69,1
APP-1078,Manufacturing,18,280596,2806,11919,305,0,13805,Good,0.24,0
APP-1079,Trading,2,2929198,25457,839027,305,1,216206,Good,0.39,0
APP-1080,Manufacturing,19,4172990,127585,150689,490,2,433733,Good,0.49,1
APP-1081,Services,13,4155810,85531,478484,447,1,54716,Good,0.19,1
APP-1082,Manufacturing,1,2792651,61202,43298,704,0,133943,Good,0.51,0
APP-1083,Manufacturing,2,1483482,22744,247225,557,0,364937,Average,0.3,0
APP-1084,Trading,16,344358,7542,934433,778,1,299519,Good,0.26,0
APP-1085,Trading,15,2923798,36708,243725,389,3,176813,Good,0.2,1
APP-1086,Services,13,4771005,128695,286600,309,3,372559,Good,0.34,0
APP-1087,Manufacturing,16,1632369,47203,119599,386,2,154220,Poor,0.75,1
APP-1088,Manufacturing,17,3036386,90272,883108,450,0,5834,Good,0.12,1
APP-1089,Manufacturing,7,1231753,13548,93721,329,0,42680,Good,0.7,1
APP-1090,Services,17,1297752,28910,834356,427,0,128802,Good,0.38,1
APP-1091,Services,7,4634751,132331,820672,377,0,3399,Average,0.49,1
APP-1092,Trading,13,4745154,54753,359525,720,0,457307,Average,0.46,0
APP-1093,Trading,5,3364479,36408,281372,354,0,152834,Average,0.75,1
APP-1094,Trading,17,166908,4799,818118,779,1,444225,Poor,0.64,1
APP-1095,Manufacturing,3,2393145,67610,546208,604,0,368052,Good,0.79,0
APP-1096,Manufacturing,7,3425896,66978,541720,845,1,338637,Good,0.66,0
APP-1097,Trading,17,901563,9985,466791,404,3,368179,Good,0.31,0
APP-1098,Manufacturing,7,900712,19127,644795,471,1,444764,Good,0.77,1
APP-1099,Trading,1,3997922,72775,402653,798,2,159412,Good,0.79,0
APP-1100,Services,17,691142,14719,343869,321,2,454581,Average,0.19,0
APP-1101,Trading,17,287902,5565,758935,586,0,388910,Good,0.73,1
APP-1102,Services,11,2210231,49832,699270,690,0,354818,Good,0.56,0
APP-1103,Manufacturing,3,1644441,43596,656052,448,0,81344,Average,0.75,1
APP-1104,Trading,15,4554562,126183,171298,571,0,190862,Good,0.74,1
APP-1105,Manufacturing,11,532450,13075,214222,598,1,355923,Good,0.72,1
APP-1106,Services,16,1948238,25924,331243,471,3,461013,Good,0.72,1
APP-1107,Services,9,1569598,28663,122557,346,3,11809,Good,0.18,1
APP-1108,Services,1,2259485,22852,883192,506,0,148768,Poor,0.2,1
APP-1109,Manufacturing,16,2709232,53169,552301,752,3,239432,Good,0.18,0
APP-1110,Manufacturing,9,95807,3122,555734,694,0,130306,Average,0.16,0
