business_type,years_in_operation,annual_revenue,ebitda,loan_amount,loan_term_months,promoter_credit_score,existing_debt,default_flag
Tech,6,26593791.07,-1552490.15,124886.18,12,612,394897.63,1
Services,9,6751031.89,-1130567.62,749612.98,24,650,529632.64,1
Logistics,3,31491856.05,-4242597.91,2577716.15,60,652,612391.84,1
Retail,12,48137083.16,-6456742.61,1424708.09,12,406,636903.93,1
Manufacturing,9,29257945.04,-1109855.4,2113571.23,36,372,1222046.82,1
Logistics,11,23183539.08,5623175.54,1284646.09,36,312,1635701.33,0
Manufacturing,5,37611424.47,12859675.55,2432677.84,60,455,1305204.03,0
Services,4,25321352.95,6579124.12,2106848.54,48,422,1542449.63,0
Manufacturing,3,29832125.05,5132480.64,2559484.35,24,398,226105.94,1
Retail,1,9232389.57,-809124.25,2754625.57,48,570,1864887.96,1
Logistics,8,31979009.05,-3997139.9,505417.69,48,468,586697.25,1
Tech,7,38135426.73,5636416.62,4723410.41,12,781,341536.52,0
Services,8,42785774.05,-2951416.91,607213.44,24,624,1429404.63,1
Manufacturing,11,27657398.11,-5089972.82,2249555.04,48,679,604553.4,1
Retail,8,42994277.5,3102712.98,2890434.92,48,803,846716.05,0
Tech,13,38349856.84,8789301.8,4449280.81,60,359,285648.22,1
Logistics,14,33264128.04,4642696.93,4115196.48,36,655,1063865.96,0
Tech,6,3272114.29,366265.11,2723317.28,60,364,1624827.32,1
Logistics,1,41743879.55,-6580694.68,3179271.86,36,486,1104676.03,0
Logistics,10,36158474.03,4820358.97,1355832.64,60,369,1634000.97,0
Manufacturing,6,40391612.88,14236033.5,1038299.11,24,730,1791288.31,0
Manufacturing,2,7798903.72,2980415.35,451485.52,60,359,1527206.13,1
Manufacturing,1,28730469.14,10568619.84,788445.15,36,716,1054991.89,1
Manufacturing,9,27471643.46,6315612.31,4747283.26,24,567,1444747.02,0
Services,9,3680509.79,52756.68,2979655.28,60,348,1306374.38,0
Tech,2,32149627.86,10370767.63,2208550.5,60,719,747080.59,0
Logistics,12,45729510.95,-4563644.37,1558096.51,60,477,302915.24,1
Retail,1,15512410.79,2830240.47,425386.23,60,673,1213653.13,0
Retail,8,47471352.8,11981776.84,2707225.44,36,775,1405732.89,0
Retail,11,37270148.19,113501.03,1258049.29,24,311,1146983.53,0
Manufacturing,9,9825057.96,3598446.97,495471.43,36,640,468115.55,0
Manufacturing,11,10155208.75,-1790780.9,799006.32,24,591,1659391.37,0
Services,1,25872522.69,6192210.86,2329258.81,60,705,1351064.74,0
Retail,11,16801403.24,6295145.04,2531846.11,60,635,1969829.53,0
Tech,3,49253990.87,-8248311.22,1065819.59,60,362,1408987.27,1
Retail,4,19809258.92,5611392.91,3685230.03,24,760,1029339.05,0
Manufacturing,11,33872253.97,678754.23,587531.51,60,469,596675.49,0
Tech,8,26601889.33,4211842.01,2985170.32,36,477,1237870.33,0
Services,14,48805607.71,11139615.37,2176660.11,36,425,1178571.46,0
Logistics,5,3549595.27,1073755.94,4485665.91,60,433,1379277.04,0
Manufacturing,1,34685457.96,1961648.72,2082145.67,48,534,433628.55,1
Logistics,10,16970340.62,6063364.54,538648.96,60,610,711586.26,0
Manufacturing,3,24520152.41,1813424.37,1593328.47,12,599,232361.15,0
Retail,5,9806778.0,79611.03,827567.6,48,559,1054296.76,1
Retail,10,33354850.85,17656.69,1502499.11,12,590,366810.7,0
Retail,11,1640830.88,-226513.31,1132462.66,48,584,10887.42,0
Tech,13,32143512.72,11408190.0,757591.89,12,716,679321.24,0
Services,5,38150025.78,11409655.8,4184513.14,48,512,1785222.66,0
Tech,6,30398247.39,-3732909.5,4994633.03,36,750,809411.75,0
Logistics,3,49816691.81,-5346861.27,3093701.55,12,441,1802893.66,1
Services,6,41912700.41,399302.61,3109427.37,24,716,582830.28,0
Tech,9,29337161.01,-566213.14,4283943.37,24,771,25530.85,1
Services,3,5207135.56,1913481.48,3654842.37,36,766,992645.54,0
Logistics,1,43946791.55,-3862483.2,4793368.07,24,626,218711.81,0
Logistics,13,8927828.03,2115676.41,1142362.13,12,608,145149.6,0
Manufacturing,12,47657306.89,7486203.55,2581117.71,12,420,259565.93,0
Retail,10,34232275.71,8483806.23,4430293.61,12,460,1860897.2,1
Logistics,5,24945535.19,-4414392.22,3871246.6,24,381,1641152.88,0
Tech,12,37543861.25,-2641479.19,1690583.11,60,517,1011618.45,1
Tech,8,46588969.38,-3430233.79,3644633.98,60,707,1691930.51,0
Manufacturing,5,6403947.77,1698650.8,2550969.88,24,715,984715.19,0
Services,4,41423750.21,-4078600.39,1532833.91,60,557,1543565.88,1
Manufacturing,9,8758070.4,3257906.79,3919705.24,48,785,1883633.0,0
Manufacturing,7,47310840.08,7316321.4,3343652.21,12,563,1061390.38,0
Logistics,9,9837296.2,937116.09,2690062.59,12,771,57141.84,0
Logistics,7,36170506.39,3610428.04,4481087.73,36,643,1664478.21,0
Manufacturing,12,2366020.83,425169.74,2757269.88,12,844,1492627.63,0
Retail,14,11577030.12,-1846786.96,2491711.79,24,358,1410993.3,1
Retail,5,36145031.9,-202249.3,3557730.74,24,307,444164.38,1
Tech,1,4171721.68,1188065.66,4215991.29,24,742,1700343.89,1
Retail,1,49516015.46,13585014.53,157721.39,48,324,1469701.04,0
Manufacturing,3,9245774.55,479512.5,4529771.43,24,445,1681265.29,1
Tech,6,40384471.16,1554526.79,1549531.32,48,667,1803832.22,0
Retail,11,2434394.96,41077.4,347924.58,48,644,378980.29,0
Services,12,8283165.42,-119059.28,2615829.04,24,739,1779374.83,0
Tech,2,6077339.57,327386.5,300662.51,24,355,651162.27,1
Services,14,44197694.13,-6772380.91,612186.65,12,437,900048.48,0
Retail,2,18110817.17,4930913.51,3804232.66,12,500,1370881.04,1
Logistics,2,7798923.96,2776827.45,4080354.93,24,358,1615876.06,0
Retail,5,33634578.47,3827778.18,3247163.0,24,306,1452378.97,1
Manufacturing,5,25267738.84,4686963.49,1459391.0,36,507,1452993.49,1
Logistics,5,17445537.08,-1079239.97,2850643.54,60,499,1055624.22,1
Manufacturing,10,46746354.68,4037089.66,1528781.83,60,787,1875100.67,0
Logistics,3,27998490.87,-1225578.24,2546290.25,60,630,338793.0,1
Manufacturing,8,41973148.35,14967022.19,4417415.23,48,446,1764940.39,0
Logistics,1,34067063.83,5155781.41,3478717.62,36,463,529299.01,1
Services,5,37664116.44,495961.6,1840919.25,36,751,1591573.46,0
Logistics,6,38220619.69,2964868.48,4219846.85,36,352,653378.05,0
Tech,14,22640011.92,8072843.33,4775245.04,36,326,1390516.8,0
Manufacturing,13,49283444.6,3329834.45,4661081.03,12,595,219272.57,0
Retail,2,7416168.07,2538735.94,2180405.78,36,482,925375.66,1
Tech,6,7485742.86,2990751.1,4069686.44,60,635,1749211.59,0
Services,10,10828269.7,9055.66,485623.03,48,784,266937.76,0
Services,3,23437854.94,945522.32,939239.71,48,791,27466.38,1
Manufacturing,4,8335011.01,-107276.56,728121.56,60,775,1038795.37,0
Manufacturing,14,13470732.72,-1738133.81,4469919.04,60,826,161899.4,0
Logistics,11,35809425.61,155629.62,3161033.28,60,587,1575861.88,1
Manufacturing,13,36091629.61,3524951.15,3572951.6,12,816,668430.67,0
Logistics,3,31712682.1,-1578012.43,2243003.1,24,437,911003.39,0
Logistics,9,32103526.0,7316732.32,1538798.72,48,510,1704860.84,0
Tech,5,29280532.3,2068391.01,1174669.97,12,559,1207162.49,1
Tech,9,535484.51,-86808.5,906174.32,12,663,373157.0,0
Manufacturing,8,22966496.69,-53381.12,1659924.91,36,624,213982.52,1
Services,14,25569590.66,-2726777.1,1272193.75,48,701,863016.24,0
Retail,5,29538993.22,749592.75,3301118.75,48,534,1133612.21,0
Retail,1,27278818.66,-795457.16,2827988.31,24,375,1888189.57,1
Tech,9,19922914.0,3125325.97,715068.49,12,801,1753120.98,0
Logistics,1,10769737.18,-1545566.22,4208891.11,12,681,1738198.14,1
Manufacturing,10,36634664.62,11758031.9,3433164.99,12,555,1664324.91,0
Manufacturing,7,45682975.58,15028906.97,3264219.97,12,570,1673104.78,0
Retail,5,21345385.77,3280493.99,1233608.69,12,790,393377.12,0
Services,10,955444.43,22591.45,1650239.5,24,663,387434.1,0
Retail,9,918349.06,-95071.88,256772.85,48,340,657548.57,1
Services,14,1264647.67,175228.8,1198939.75,24,543,831979.22,1
Retail,10,27706303.9,-3676365.65,612837.11,24,801,1463746.51,0
Tech,2,16171820.52,2585984.66,837427.94,48,462,883068.02,0
Logistics,12,44876960.42,-8509032.02,2055635.82,60,832,1769853.49,0
Manufacturing,3,39193511.34,-2171220.88,2445359.87,36,542,619118.6,0
Retail,7,20041378.18,2097736.87,4415187.83,48,337,1464882.92,0
Logistics,7,616199.96,155972.58,3434857.16,36,728,227523.92,0
Retail,1,22094100.19,-4046987.54,284006.37,60,350,628219.64,1
Services,2,43242826.8,-2746505.66,927284.67,36,441,1456366.71,0
Logistics,12,17191500.74,4168850.18,697257.14,48,426,702757.93,1
Services,8,18493965.64,284739.86,4516170.12,12,732,290211.15,1
Manufacturing,13,31434716.64,-1173216.1,4666372.39,24,762,1386594.94,1
Tech,6,26725548.32,-43001.69,4174712.24,60,777,488128.02,1
Retail,4,16089194.76,5190577.84,2395460.06,60,432,52316.68,1
Logistics,13,21306601.77,-2920283.21,4914996.82,12,414,518430.67,0
Logistics,10,26054267.25,8018211.5,4616460.68,12,800,36743.31,0
Services,6,10416821.14,2847917.08,3472635.69,60,307,619458.44,0
Retail,13,39305649.65,5032810.8,3981730.7,36,394,1309551.5,0
Retail,12,30624866.15,1962648.81,4809479.51,36,635,519100.87,0
Services,2,5671775.68,-182408.58,3467686.72,24,520,1982113.02,0
Manufacturing,7,18504413.3,-997816.26,1361090.75,24,387,1348014.71,0
Manufacturing,14,22684456.93,407962.98,1184065.32,24,427,1544480.55,0
Logistics,6,23088133.23,-3150487.1,2539558.98,36,715,1602704.12,0
Services,4,37384668.09,10163381.65,152294.21,12,424,1048872.69,1
Manufacturing,12,32289377.03,8156976.51,635469.28,24,832,197937.25,0
Manufacturing,6,17650229.71,-3244592.48,4900698.24,12,491,1884315.83,1
Services,3,22823831.88,7749793.17,3566861.81,60,334,943217.14,1
Tech,6,6801938.0,2003827.95,4805305.16,12,311,1304969.46,1
Tech,3,17147480.01,4446506.11,2455175.34,48,775,1720147.04,0
Services,4,47458377.0,14149473.12,4831700.56,12,404,19693.65,0
Retail,1,10861429.89,2774803.84,736504.14,48,618,1666542.56,0
Tech,2,36655605.12,2942497.15,4662027.37,24,806,283688.8,0
Manufacturing,4,44701747.29,5866380.87,2699318.62,12,394,1700753.84,0
Logistics,6,43202420.57,5789461.66,2970728.95,36,561,268980.21,0
Manufacturing,3,4610418.51,1315669.96,2259699.22,36,631,777702.99,0
Tech,4,45576829.28,-8084438.46,2196781.98,36,527,1484620.49,1
Retail,14,6709368.33,-482335.29,188495.08,60,577,662032.52,1
Retail,9,12488080.56,3708635.32,2696186.06,60,573,1978681.28,1
Retail,7,32919584.68,7572231.45,101190.38,36,728,524609.86,0
Retail,4,12063647.09,-808543.54,3082000.81,60,816,950594.15,1
Tech,6,3645018.26,591410.02,4822706.54,48,710,575759.01,0
Services,10,20437418.65,7730977.68,2800592.55,60,677,228876.33,0
Tech,11,16386304.2,4074426.68,2717680.01,24,431,206293.52,1
Retail,8,35474215.21,3557027.2,4362654.86,36,470,1355789.84,0
Manufacturing,3,6769465.71,999321.1,2456613.88,48,474,182503.32,0
Retail,3,5854384.68,-1124147.69,3134806.42,60,839,1605121.5,0
Retail,7,33137840.0,-4832693.44,4913713.72,48,790,80650.48,0
Retail,7,15088384.92,6018949.57,1196708.62,48,693,577619.94,0
Tech,7,10633340.41,2117193.7,1718507.67,48,615,270366.11,0
Tech,2,10760484.87,1865027.74,1651753.34,36,715,1154399.49,0
Retail,6,640686.61,-101573.74,643509.13,48,501,1328148.24,1
Logistics,1,3397561.7,736427.96,872539.03,12,379,31676.14,1
Manufacturing,1,18666408.29,6277975.08,3474360.76,60,567,1453208.87,1
Tech,13,10032790.81,3425483.16,4499199.45,48,773,1102634.78,0
Manufacturing,11,38192212.26,5574838.95,122071.96,60,448,1053518.58,0
Services,14,22416865.36,5560465.57,4555238.64,48,745,1258235.16,0
Manufacturing,1,16739449.38,63072.52,3679027.39,48,617,665900.49,0
Retail,5,33556407.89,12605209.89,2014689.62,48,711,1957011.93,0
Tech,4,12736653.39,-2517440.76,606552.24,36,572,1962058.98,1
Services,5,4737177.86,1373427.57,3816178.0,12,475,69479.89,0
Services,10,33027382.53,5976095.07,3096324.78,60,626,125444.34,0
Tech,11,3947470.45,184103.65,2651211.23,36,629,1019471.02,0
Manufacturing,9,30635499.03,8958501.83,1206239.07,24,318,658756.13,0
Manufacturing,11,6814623.49,-967544.85,3394166.26,36,554,894321.01,1
Retail,4,4010351.48,1148498.39,3879483.4,36,439,1660385.13,1
Manufacturing,6,1902703.79,-184787.08,3962548.52,48,436,1027407.73,1
Retail,5,2496342.97,697273.71,975281.5,60,714,1587264.83,0
Services,11,13898393.0,5316101.95,3064997.95,48,421,1859717.0,0
Logistics,9,37463793.74,-4295573.45,2525415.69,12,786,369302.49,0
Services,9,22340868.62,8065043.0,4144011.17,36,635,1408518.15,0
Retail,8,23496846.84,-1095444.68,3135280.86,48,697,253425.47,0
Manufacturing,13,23391612.44,-3849779.24,2483223.29,24,640,1570143.72,1
Logistics,12,6683530.63,2566435.28,160885.41,12,716,1505972.39,0
Services,12,43663262.26,14896389.57,2237876.98,12,571,98547.31,1
Logistics,1,10267041.54,2152453.13,1481454.8,60,480,940946.64,0
Retail,9,40728305.65,13050880.74,1243641.72,36,433,1252348.15,1
Retail,12,22642955.12,-1673739.45,3129896.9,24,734,312662.88,0
Tech,14,30581635.51,2358387.21,2397212.89,36,526,321206.29,0
Manufacturing,13,8948533.05,20190.12,4277439.83,12,391,1341653.36,1
Manufacturing,13,29954794.07,10360841.45,3069473.51,48,579,1918470.87,1
Retail,9,3694526.25,197299.3,1853285.07,36,520,1716746.76,1
Tech,5,16191548.0,-1780949.75,4246807.95,24,313,908965.47,0
Logistics,7,21484561.48,7736936.96,107764.76,60,684,688150.99,1
Tech,3,22883055.5,7320075.94,334992.89,60,551,636374.96,0
Logistics,9,7918208.54,450567.74,1342848.12,24,325,23052.03,0
Manufacturing,4,13782819.67,-258883.73,107739.16,12,507,260647.89,0
Logistics,11,2789780.37,670251.93,2536291.78,48,839,493494.84,0
Logistics,11,33628226.08,12002292.2,3761847.55,36,647,832434.06,0
Logistics,14,13435755.6,-2565890.49,1617668.1,24,748,1571333.2,1
Services,8,31992832.02,-1228859.35,4598251.5,60,739,283222.7,1
Logistics,3,42246979.37,11733438.6,3740204.19,36,796,1065371.36,0
Logistics,5,13006818.61,1794078.6,2648885.61,60,414,30529.68,0
Tech,2,3259605.12,1201348.94,4548297.7,60,577,1300184.9,1
Retail,13,649533.13,163189.05,4646178.25,60,314,633003.56,0
Manufacturing,5,5028406.42,460976.64,1234756.66,12,463,1620606.6,0
Tech,8,47086211.45,-5673239.35,1508995.19,48,367,853091.4,0
Retail,1,16147191.95,2346256.43,1615688.7,24,763,1944459.42,0
Tech,11,39454948.1,13027666.01,1864794.55,48,707,575868.19,0
Retail,2,22878381.26,-2615359.82,337139.82,12,535,504404.8,1
Manufacturing,2,13543604.1,2520654.3,897602.9,60,418,313525.9,0
Logistics,10,24635289.37,-457916.56,2696486.95,24,832,1360092.11,1
Tech,7,5197941.53,862808.2,2092368.68,48,592,1082670.77,0
Tech,13,14625388.61,-2537827.06,3697132.05,48,785,1608522.31,1
Retail,7,17098785.87,-1530566.24,4032566.22,12,695,231035.8,1
Manufacturing,13,5006297.59,55442.21,2124652.95,24,313,1985661.65,0
Logistics,10,29888436.26,-1889519.19,4158242.51,24,608,838775.66,1
Manufacturing,9,44151812.64,4805111.08,2755963.39,12,559,1799819.09,0
Services,9,47655785.47,6367149.93,956072.1,60,554,537159.21,1
Retail,5,13766569.28,2790744.02,3330707.83,36,692,123086.07,0
Logistics,3,15977791.92,5375737.46,191368.27,24,362,275789.88,1
Retail,9,25897322.31,-63404.94,4252039.76,12,558,1473610.21,1
Services,13,37145495.03,2759731.07,2695258.18,36,820,733611.77,0
Manufacturing,10,25105920.81,-1297609.48,4134016.4,60,627,903094.05,0
Manufacturing,11,12868439.53,203957.7,4399697.28,60,346,658610.63,0
Services,2,5751556.47,1496371.45,4756860.78,48,709,195414.55,0
Logistics,5,5560096.47,-593334.12,2953551.53,48,845,1599525.49,0
Manufacturing,10,14531326.89,-175152.36,3403676.2,12,577,1789195.75,1
Manufacturing,13,14815061.02,-1265008.43,4021784.52,48,693,1009749.63,1
Retail,10,41444328.35,6009367.58,1449688.73,12,312,1106980.54,0
Tech,8,22285978.16,7695740.42,3621158.33,36,448,393907.26,0
Manufacturing,12,25227683.53,8394281.97,2259752.43,24,431,1074338.64,0
Logistics,10,44080884.19,6160999.09,2119258.69,12,486,1797630.75,1
Tech,14,28162623.11,-682062.17,969660.99,36,834,50945.38,0
Retail,10,7228670.99,733061.46,1149463.64,48,434,340734.5,0
Manufacturing,3,35641687.13,2842950.33,804788.91,24,319,1997798.57,1
Manufacturing,1,17177634.7,836695.74,1646702.77,48,400,1212404.51,0
Tech,10,33085047.28,7997197.03,159142.68,36,373,11848.13,0
Retail,7,29678804.75,3481218.86,2909667.97,24,647,699700.47,0
Retail,6,12244091.0,2968210.49,2571663.09,24,634,1348116.91,0
Logistics,5,40395521.37,9141558.23,3354216.12,60,416,1485442.99,1
Retail,7,26508883.92,-395070.58,4428413.54,48,591,626501.48,1
Retail,12,19732291.83,-2356752.76,3649669.47,48,420,1331430.87,0
Logistics,10,14563155.39,4286612.76,3742331.28,48,755,908334.94,0
Manufacturing,7,24293170.56,3187330.23,691819.66,48,312,1181507.44,0
Manufacturing,7,14466701.41,3762051.02,3696960.3,12,759,1009478.95,0
Logistics,3,24295811.1,-3861551.63,3568615.41,12,471,392965.3,0
Logistics,14,41688689.44,7639042.41,1145479.03,60,708,835278.01,0
Logistics,14,33732716.44,2904559.26,4503330.75,12,534,1608218.49,1
Tech,13,13420918.93,1035550.99,4547320.29,24,778,526492.35,0
Services,12,26995010.36,-617574.57,1761906.21,12,560,461277.28,1
Logistics,12,17886569.7,-1559510.24,1665655.11,12,840,1132887.37,0
Tech,5,6293731.1,1819167.66,656577.86,24,485,1791624.2,0
Manufacturing,6,31564023.18,5876214.63,1685090.03,48,767,1013540.08,0
Tech,13,38334038.01,4001897.3,1761070.45,60,673,1373300.85,0
Services,6,11330320.4,983913.94,861182.18,48,507,406141.19,0
Logistics,11,2307758.78,64217.56,1542039.49,24,719,628088.01,0
Retail,7,4651750.06,-910265.55,723194.02,24,403,1405895.1,0
Logistics,11,19578344.44,1555533.41,4225460.3,24,608,686088.01,0
Tech,11,909132.25,-61799.42,3366516.75,24,802,584883.61,1
Tech,5,2933346.92,163974.82,4282786.65,48,777,16731.32,0
Retail,4,36756504.14,-5876186.33,3320268.54,48,420,1305226.8,0
Logistics,1,23779663.02,9098145.52,3480123.25,12,761,248690.63,0
Logistics,3,30593906.28,10314505.38,2325716.34,36,345,1231248.79,0
Retail,14,41717819.57,11660245.29,2315014.51,36,456,700473.23,1
Logistics,13,11600789.97,3955163.76,4592352.23,24,549,225008.27,0
Tech,10,45789031.86,13657123.13,4105321.03,48,661,1876723.2,1
Manufacturing,12,34640225.98,-1209723.71,3520772.93,36,698,798652.29,0
Logistics,14,41673372.36,-7846365.84,2519850.37,12,530,1197128.7,1
Manufacturing,8,29139974.76,10343053.74,4722450.76,48,733,1213439.16,0
Retail,14,34525033.68,11498583.6,823956.99,48,557,391415.5,0
Retail,6,11174168.25,3907802.24,2466182.74,36,779,1207747.82,0
Tech,12,26590011.46,10026517.11,3114552.99,36,571,1004549.73,1
Manufacturing,10,29883721.95,9009614.09,704971.51,24,790,787438.34,0
Manufacturing,2,5811409.91,1606104.38,823004.05,12,479,176012.06,1
Manufacturing,8,18639617.58,-996748.81,4825478.75,60,782,628770.08,1
Tech,13,43264822.47,-2981546.69,4660957.59,60,839,1113761.18,0
Manufacturing,14,41292677.28,16385160.86,2867613.9,12,592,1750241.98,0
Tech,6,42648480.24,1470637.53,4280547.6,60,826,1039003.71,0
Manufacturing,10,47727648.79,-3106905.62,4037812.22,24,436,1472559.8,1
Tech,11,27699733.89,-195326.09,3077774.65,36,831,336461.69,1
Tech,12,36161468.26,496773.06,1730809.97,36,500,1297390.09,0
Retail,11,30789252.2,5415466.19,3539541.28,12,734,1885219.42,0
Tech,1,23203568.99,338962.6,3431073.37,48,431,953135.89,0
Services,12,47612393.05,-3545401.53,1932246.56,12,479,1863888.28,1
Services,12,36383058.46,5034360.95,3187169.43,24,316,1064265.48,0
Tech,9,25157418.87,1315184.03,1504636.85,36,444,167795.92,0
Manufacturing,13,4960624.83,-308991.72,3122402.73,24,649,77747.39,1
Retail,3,39842488.86,13239065.44,2714255.01,48,341,1745148.04,0
Manufacturing,8,6169376.98,-1222735.36,2185223.8,12,477,563019.24,0
Logistics,3,41747078.1,5320145.99,3625836.23,60,763,1154244.54,0
Tech,12,10979980.53,3434849.68,1649832.51,36,573,513663.15,0
Retail,3,24746489.0,2215812.11,2218544.36,24,325,1033472.09,1
Retail,7,6023899.28,-625635.16,4986134.23,48,380,715569.85,1
Services,7,11395436.59,3182702.36,4620244.59,24,352,1623626.21,1
Logistics,8,23484421.37,5823223.79,2574637.43,36,746,1773179.19,0
Manufacturing,5,5790822.13,22750.16,4196788.45,12,589,1568374.36,1
Retail,1,10622964.77,2095040.0,2402242.63,36,669,1495486.85,0
Retail,13,7342488.3,1179025.41,4901580.72,60,651,82748.76,0
Services,12,4015716.1,430782.07,3540605.21,36,768,1744212.13,0
Logistics,11,40807898.69,3599226.55,3880700.05,36,650,648627.33,0
Logistics,6,17870643.7,-2829236.72,4018424.23,24,625,445298.47,1
Tech,7,35365471.35,-2887923.27,1270633.01,12,620,1247777.89,0
Tech,12,49306582.82,-8020146.42,4324549.5,12,552,935698.37,1
Manufacturing,13,48064755.63,-6527233.1,3623972.32,60,667,1202165.33,1
Services,4,12874937.39,1016189.14,3479079.29,24,729,537114.28,0
Retail,1,39897700.55,4586344.89,3987160.58,24,326,1234708.5,0
Services,10,29999423.56,11435272.03,934318.77,24,401,822094.39,0
Logistics,9,3617084.73,-363448.81,3944077.45,48,535,1268658.71,1
Tech,4,8870643.07,2876913.91,4669964.01,36,560,636509.99,0
Manufacturing,2,45494554.15,784403.74,3868932.36,24,339,437940.25,0
Services,10,42770448.92,12689283.9,1427719.72,36,783,541818.45,0
Retail,12,38646805.09,1039802.39,3046662.08,48,720,463719.23,0
Retail,8,924175.94,343165.17,1038317.71,24,417,362388.92,1
Logistics,9,36184214.34,-1341803.56,100258.85,48,388,1663516.28,1
Manufacturing,4,42237307.07,4705736.62,1109516.25,60,547,1477556.06,1
Logistics,3,25526498.64,3882018.14,4396528.41,36,697,1750419.61,0
Logistics,1,4266193.97,423753.28,3466066.96,36,759,483170.0,0
Retail,1,3683801.55,584168.69,214949.21,48,835,902846.01,0
Manufacturing,6,6811236.47,2344303.46,2987409.96,36,844,582768.77,0
Tech,11,46404637.27,7352032.25,4462482.53,36,695,512176.85,0
Retail,3,6567866.25,-1029582.13,2325073.31,60,771,734347.63,0
Tech,11,17262841.94,5595091.57,2130956.8,48,312,1682089.97,0
Services,12,24879831.77,-3705395.39,2497062.94,48,409,537198.32,1
Logistics,11,2595557.38,51596.63,1317825.15,12,730,1614383.94,1
Tech,6,8868358.58,-575689.86,735560.66,60,514,1544518.33,1
Services,10,31847532.38,-2752658.78,319282.03,12,822,1133128.01,1
Manufacturing,10,14814323.57,3172351.27,2657233.86,36,682,449811.94,0
Services,8,17140184.26,3870764.27,2751821.47,36,648,1026761.29,0
Tech,14,4862265.19,-524107.49,3688273.78,24,761,1218607.44,0
Services,4,39863221.03,-7232088.24,2389708.06,12,576,889610.99,1
Tech,5,43847993.31,-3545114.05,4722797.73,12,783,52767.24,1
Services,5,42403457.41,4108919.32,3765370.22,36,395,1531209.64,0
Services,6,8654333.44,1637282.53,1397844.66,60,593,1425543.59,0
Manufacturing,10,27985534.47,9516225.59,4044586.7,48,636,1895067.7,0
Logistics,4,10878215.64,-1422924.9,3119498.83,24,518,148663.1,1
Logistics,3,10797215.86,2131084.66,4067403.86,12,602,1531568.59,0
Retail,13,7319265.01,1306974.1,3638277.49,12,743,1952027.85,0
Services,14,17520751.99,-286086.08,4432616.02,24,436,1523485.41,0
Logistics,11,30408171.25,-3889546.55,1690840.21,48,545,1712570.26,0
Services,10,11806243.6,-1101837.67,1548451.16,60,741,1026431.48,0
Logistics,6,42790126.15,-516077.91,2648405.15,48,324,838498.5,0
Services,12,3935068.09,-321131.06,4064260.23,24,405,1162733.11,1
Logistics,8,43212524.56,15214531.2,3912123.69,48,581,1128253.89,1
Manufacturing,11,43877541.51,9706244.12,158169.6,12,454,1972895.45,1
Retail,7,26976201.41,-3397891.88,4571176.77,60,366,1329600.09,0
Manufacturing,5,47481066.62,-9456822.63,1253495.52,60,547,756062.12,0
Logistics,11,27210984.6,8777663.01,2679945.29,48,725,360711.94,0
Retail,1,15950349.71,6259602.72,570434.04,48,608,1193261.06,0
Logistics,6,33713248.12,-1765313.69,640931.75,36,840,1793143.05,1
Logistics,2,13588012.75,1133584.39,2635558.95,12,432,426114.7,0
Manufacturing,1,49217572.89,18791094.7,4993131.02,12,575,1657334.29,1
Tech,7,18035177.16,54251.25,4997532.12,12,667,592696.15,0
Retail,12,544838.84,-15877.75,938805.24,12,578,1944333.25,0
Services,12,48543379.97,-1438720.54,1683650.92,48,479,1585354.98,1
Manufacturing,6,7745466.8,2220176.96,4311229.46,24,359,1346408.49,1
Retail,11,33325817.56,6497630.37,3450127.77,48,704,896456.03,0
Services,10,40752516.29,-7041325.36,4636363.89,24,303,564794.22,1
Tech,6,36392109.64,11914781.77,926638.05,36,529,1187747.54,0
Retail,7,44072462.78,10226468.59,619183.97,48,474,1341990.92,0
Logistics,9,40313856.14,-5625806.05,3156391.58,24,764,5402.43,0
Manufacturing,5,18484561.54,1833472.64,312646.18,36,600,358359.35,0
Retail,5,29402546.26,8060259.72,463132.87,48,417,429470.25,0
Services,2,47551456.49,-8951495.88,2772737.81,24,593,358890.48,0
Services,1,14766492.44,4486275.64,2768203.34,36,376,283866.42,0
Tech,1,31376723.44,8992243.57,2400230.82,48,603,552172.18,0
Retail,4,16455753.68,555606.8,4701632.62,48,390,569220.53,0
Logistics,13,44595794.51,15310741.65,4945490.99,24,357,1866826.64,0
Manufacturing,3,11671886.38,4522164.79,3060166.56,12,603,1186311.99,0
Manufacturing,7,17724448.97,2101477.95,1737268.42,48,490,787975.02,0
Manufacturing,10,23777329.72,-4105598.64,666808.6,48,774,1466723.03,1
Manufacturing,2,12799191.96,185343.8,1448126.01,12,432,1572585.79,1
Logistics,4,4077449.6,-58799.37,2716735.88,24,773,1241665.27,1
Services,8,24734586.01,5272788.81,4371809.08,36,354,123011.47,0
Services,6,17193268.67,-528903.01,3739825.36,36,309,313294.76,1
Tech,6,17192385.54,6730452.85,851746.14,12,801,137005.59,0
Services,4,18103288.96,-1350549.61,2600043.29,60,561,1477984.13,1
Manufacturing,13,8088159.95,-1203931.5,415585.07,60,675,374700.84,1
Tech,4,38738643.38,11522153.39,315132.61,12,360,716578.93,1
Retail,4,24928704.54,6899744.14,3712415.62,36,668,935087.7,0
Services,7,5666387.18,-1074420.35,4315214.27,48,361,580957.92,0
Logistics,8,9927621.35,1337313.31,450364.82,12,420,1483206.04,0
Services,3,40246831.9,5784294.06,1244354.83,12,623,770940.87,0
Tech,5,34574507.03,7712902.57,4575723.4,24,757,397833.63,1
